"global_id";"Stop times code";"Trip code";"Arrival time";"Departure time";"Stop code";"Distance from the beginning of the route";"Type landing";"Destination is displayed";"Number stop";"Type of trip";"Interval on the route";
"global_id";"Код расписания";"Код рейса";"Время прибытия";"Время отправления";"Код остановки";"Расстояние от начала маршрута, км";"Тип посадки";"Пункт назначения рейса, отображающийся на информационном табло";"Номер остановки по пути следования";"Тип рейса";"Интервал на маршруте";
"5077553164";"";"4414_100031123_11_16";"23:48:00";"23:48:00";"16514";"";"";"";"25";"";"";
"5077553165";"";"4425_100019350_3_2";"07:44:00";"07:44:00";"16121";"";"";"";"6";"";"";
"5077553171";"";"4425_100019350_3_2";"08:27:00";"08:27:00";"4892";"";"";"";"36";"";"";
"5077553177";"";"4425_100019350_3_2";"08:21:00";"08:21:00";"7600";"";"";"";"32";"";"";
"5077553215";"";"4414_100031123_11_16";"23:45:00";"23:45:00";"21551";"";"";"";"21";"";"";
"5077553226";"";"4414_100031123_11_16";"23:33:00";"23:33:00";"4164";"";"";"";"12";"";"";
"5077553244";"";"4425_100019350_3_2";"08:06:00";"08:06:00";"7507";"";"";"";"21";"";"";
"5077553245";"";"4414_100031123_11_16";"23:18:00";"23:18:00";"1001697";"";"";"";"1";"";"";
"5077553258";"";"4425_100019350_3_2";"08:05:00";"08:05:00";"7506";"";"";"";"20";"";"";
"5077553263";"";"4425_100019350_3_2";"07:48:00";"07:48:00";"9358";"";"";"";"9";"";"";
"5077553286";"";"4414_100031123_11_16";"23:21:00";"23:21:00";"1009094";"";"";"";"3";"";"";
"5077553296";"";"4414_100031123_11_16";"23:42:00";"23:42:00";"22638";"";"";"";"19";"";"";
"5077553354";"";"4425_100019350_3_2";"07:50:00";"07:50:00";"7589";"";"";"";"10";"";"";
"5077553363";"";"4425_100019350_3_2";"08:01:00";"08:01:00";"21698";"";"";"";"19";"";"";
"5077553395";"";"4414_100031123_11_16";"23:30:00";"23:30:00";"4161";"";"";"";"9";"";"";
"5077553398";"";"4425_100019350_3_2";"07:52:00";"07:52:00";"7590";"";"";"";"11";"";"";
"5077553405";"";"4414_100031123_11_16";"23:54:00";"23:54:00";"4176";"";"";"";"29";"";"";
"5077553438";"";"4425_100019350_3_2";"07:57:00";"07:57:00";"6684";"";"";"";"16";"";"";
"5077553472";"";"4414_100031123_11_16";"23:41:00";"23:41:00";"13919";"";"";"";"18";"";"";
