"global_id";"Stop code";"Stop name";"Station Name";"Street";"Direction";"Pavilion";"Operating organization name";"Pavilion electrification";"Transport type";"Geodata";"Centroid";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"Электроподключение остановочного павильона";"Вид транспорта";"Геоданные";"Центроид";
"5107799628";"1004387";"Ул. Павлова";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.45484943, 55.91103964]]]";"{type=Point, coordinates=[37.45484943, 55.91103964]}";
"5107799629";"1004050";"Улица Берёзовая, 3";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.72015095, 55.54554015]]]";"{type=Point, coordinates=[37.72015095, 55.54554015]}";
"5107799630";"1004274";"Школа";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.4714021, 55.89259785]]]";"{type=Point, coordinates=[37.4714021, 55.89259785]}";
"5107799631";"1003949";"Торговый центр";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.90001038, 55.6978047]]]";"{type=Point, coordinates=[37.90001038, 55.6978047]}";
"5107799632";"1004048";"Кинотеатр";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.70230798, 55.55251325]]]";"{type=Point, coordinates=[37.70230798, 55.55251325]}";
"5107799633";"1004226";"Зенино";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.97130372, 55.70358373]]]";"{type=Point, coordinates=[37.97130372, 55.70358373]}";
"5107799634";"1003922";"Областная больница";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.87130981, 55.62811448]]]";"{type=Point, coordinates=[37.87130981, 55.62811448]}";
"5107799635";"1004639";"Кочугино";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.18139324, 56.10238399]]]";"{type=Point, coordinates=[37.18139324, 56.10238399]}";
"5107799636";"1004166";"Мебельный м-н";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.86370119, 55.76774924]]]";"{type=Point, coordinates=[37.86370119, 55.76774924]}";
"5107799637";"1004239";"Шоссейная ул.";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.87227377, 55.67482538]]]";"{type=Point, coordinates=[37.87227377, 55.67482538]}";
"5107799638";"1004164";"Просп. Мира, 23";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.86294056, 55.76278538]]]";"{type=Point, coordinates=[37.86294056, 55.76278538]}";
"5107799639";"1004638";"Майдарово";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.15180433, 56.09174151]]]";"{type=Point, coordinates=[37.15180433, 56.09174151]}";
"5107799640";"1003965";"Дивизия им. Дзержинского";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.89507782, 55.78976457]]]";"{type=Point, coordinates=[37.89507782, 55.78976457]}";
"5107799641";"1003986";"Ул. Свердлова, 1а";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.96652824, 55.81824046]]]";"{type=Point, coordinates=[37.96652824, 55.81824046]}";
"5107799642";"1004065";"Гипермаркет «Лента»";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.68853983, 55.56675261]]]";"{type=Point, coordinates=[37.68853983, 55.56675261]}";
"5107799643";"1004088";"Развилка, 38";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.75621807, 55.58669133]]]";"{type=Point, coordinates=[37.75621807, 55.58669133]}";
"5107799644";"1003943";"ТЦ «Айс»";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.90711516, 55.69322363]]]";"{type=Point, coordinates=[37.90711516, 55.69322363]}";
"5107799645";"1004651";"Дачи";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.21336142, 56.03803773]]]";"{type=Point, coordinates=[37.21336142, 56.03803773]}";
